type,Threshold,Predictor,a_yes_d_yes,b_yes_d_no,c_no_d_yes,d_no_d_no,OR_fisher,CI_lower_fisher,CI_upper_fisher,p_value_fisher,p_value_fisher_BH
af,95th,Entanglement,1243,4262,317,2894,2.6621017779631777,2.329930716052334,3.048147027610426,5.531830613694406e-54,5.531830613694406e-54
af,95th,Cov_Entanglement,98,213,1462,6943,2.1847435142928027,1.6904801744555706,2.8079261959424744,2.7179381442511717e-9,2.7179381442511717e-9
af,95th,Knot,11,34,1549,7122,1.4874462787379328,0.6782948396900726,3.014558557104528,0.24392576124864643,0.24392576124864643
af,75th,Entanglement,2911,4262,900,2894,2.196123109358693,2.008726451069886,2.4021651646114517,6.601367982740232e-72,6.601367982740232e-72
af,75th,Cov_Entanglement,209,213,3602,6943,1.8912913094154198,1.5483306136484256,2.309840317466502,2.1256595151339486e-10,2.1256595151339486e-10
af,75th,Knot,33,34,3778,7122,1.8296480393175676,1.0964071904972001,3.049638861949693,0.014400201526333692,0.014400201526333692
af,50th,Entanglement,4182,4262,1415,2894,2.0067486552654943,1.8576563383048885,2.1682753279257243,3.6600315194098673e-73,3.6600315194098673e-73
af,50th,Cov_Entanglement,274,213,5323,6943,1.677781197234694,1.3924935041655275,2.0237486660755537,2.6174715611743996e-8,2.6174715611743996e-8
af,50th,Knot,44,34,5553,7122,1.659675494696438,1.0353165862513165,2.681504016048743,0.029327936778406945,0.029327936778406945
